Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, 0.578875, 0.9214,0.9366,0.8513,0.8537,0.8349,0.8039,0.8889,0.8899,0.7689,0.8174
1, 0.703875, 0.9637,0.9663,0.9321,0.9176,0.9114,0.9097,0.9501,0.9282,0.8689,0.8957
2, 0.724375, 0.9736,0.9711,0.9299,0.9139,0.9337,0.8908,0.9595,0.9571,0.8907,0.9052
3, 0.74675, 0.9815,0.9706,0.9533,0.9293,0.9365,0.9434,0.9615,0.9531,0.9119,0.9158
4, 0.75125, 0.9817,0.9733,0.9586,0.9271,0.9413,0.9165,0.9706,0.9657,0.9153,0.9323
5, 0.761875, 0.983,0.9754,0.9444,0.9486,0.9422,0.9234,0.9696,0.9561,0.9152,0.9179
6, 0.764, 0.9859,0.9792,0.9619,0.9371,0.9441,0.93,0.9755,0.959,0.9113,0.94
7, 0.7645, 0.9804,0.9877,0.9563,0.9371,0.9532,0.9358,0.9728,0.9697,0.908,0.9439
8, 0.775125, 0.9859,0.9841,0.9559,0.952,0.9432,0.9305,0.9772,0.9638,0.9248,0.9317
9, 0.776125, 0.9823,0.9852,0.9557,0.9487,0.9471,0.9326,0.979,0.9642,0.9175,0.9331
10, 0.777625, 0.9874,0.9805,0.9638,0.9518,0.9529,0.9184,0.9788,0.9698,0.9275,0.943
11, 0.78125, 0.9848,0.9878,0.9636,0.9492,0.9589,0.934,0.9674,0.9703,0.9353,0.9431
12, 0.79125, 0.9917,0.9903,0.9625,0.9531,0.9526,0.947,0.9762,0.9751,0.9322,0.9356
13, 0.7845, 0.9863,0.9819,0.9535,0.9572,0.9507,0.9377,0.9715,0.979,0.9132,0.9308
14, 0.790125, 0.9932,0.9891,0.9639,0.9569,0.9632,0.9317,0.9792,0.9672,0.9443,0.9378
15, 0.786875, 0.989,0.989,0.9679,0.955,0.9544,0.9452,0.9776,0.9616,0.9286,0.9613
16, 0.797, 0.9905,0.9852,0.9688,0.9511,0.9621,0.9377,0.9853,0.9781,0.9294,0.9479
17, 0.796625, 0.9931,0.9879,0.9688,0.967,0.9522,0.9354,0.9867,0.9751,0.9527,0.9368
18, 0.796, 0.9904,0.9914,0.97,0.9604,0.9679,0.9518,0.975,0.9723,0.9326,0.9543
19, 0.79375, 0.9972,0.9914,0.963,0.9617,0.9676,0.9538,0.9882,0.9747,0.9388,0.942
20, 0.793, 0.9918,0.9891,0.9786,0.9618,0.9692,0.9532,0.9837,0.9723,0.9473,0.9531
21, 0.8015, 0.9904,0.9866,0.9694,0.946,0.9607,0.933,0.9883,0.9854,0.9197,0.9544
22, 0.797, 0.9972,0.989,0.973,0.9497,0.9724,0.9476,0.9838,0.9688,0.9364,0.9498
23, 0.80675, 0.9877,0.9951,0.9763,0.9629,0.9623,0.9622,0.9869,0.9784,0.9377,0.9428
24, 0.802125, 0.9904,0.9927,0.9794,0.9563,0.9677,0.944,0.9767,0.9725,0.9399,0.9455
25, 0.8055, 0.9945,0.9915,0.9732,0.9651,0.9699,0.9428,0.9898,0.9811,0.9453,0.9525
26, 0.8025, 0.9905,0.9928,0.9767,0.961,0.9641,0.959,0.9809,0.9764,0.9232,0.9586
27, 0.8085, 0.9945,0.9903,0.9748,0.9611,0.9667,0.9573,0.9883,0.9756,0.9356,0.9423
28, 0.811375, 0.9973,0.9927,0.9682,0.9645,0.9667,0.9599,0.9811,0.9812,0.9329,0.9604
29, 0.80375, 0.9946,0.9964,0.9703,0.9681,0.966,0.9615,0.9856,0.9781,0.941,0.9422
30, 0.80625, 0.9945,0.9928,0.9692,0.9582,0.9697,0.9418,0.9913,0.9796,0.9593,0.9468
31, 0.809125, 0.9932,0.9939,0.9779,0.9765,0.9789,0.9519,0.9899,0.9825,0.9283,0.9585
32, 0.813, 0.9946,0.9939,0.9793,0.9557,0.9653,0.9577,0.9927,0.9798,0.946,0.9475
33, 0.8095, 0.9933,0.9916,0.975,0.9672,0.9729,0.9505,0.984,0.9811,0.9471,0.9434
34, 0.81825, 0.9932,0.9964,0.9782,0.9602,0.9687,0.9495,0.9857,0.9754,0.9427,0.9504
35, 0.81, 0.9932,0.9904,0.975,0.9717,0.9755,0.9624,0.9899,0.9826,0.9368,0.9574
36, 0.812875, 0.9986,0.9903,0.9766,0.9614,0.9697,0.9381,0.987,0.9854,0.9444,0.9327
37, 0.815625, 0.9946,0.9893,0.9796,0.9671,0.9802,0.9521,0.9884,0.9814,0.942,0.9562
38, 0.81525, 0.9905,0.9927,0.9825,0.9565,0.9789,0.9569,0.9887,0.9842,0.9307,0.9532
39, 0.81925, 0.9973,0.9844,0.9792,0.9525,0.9719,0.9519,0.9885,0.9827,0.9402,0.954
40, 0.8135, 0.9946,0.9964,0.9795,0.9658,0.9656,0.9575,0.9927,0.9814,0.9394,0.9479
41, 0.814, 0.9986,0.9915,0.9735,0.9733,0.9762,0.9477,0.9913,0.981,0.9288,0.961
42, 0.818625, 0.9959,0.9927,0.9754,0.9588,0.973,0.9588,0.9855,0.9884,0.9477,0.9587
43, 0.821, 0.9986,0.9952,0.9808,0.9756,0.9759,0.9579,0.9914,0.9827,0.9532,0.9533
44, 0.814625, 0.996,0.9927,0.9769,0.9749,0.9669,0.9646,0.9885,0.9825,0.9483,0.9563
45, 0.8265, 0.996,0.9892,0.9782,0.9647,0.9807,0.9479,0.9957,0.983,0.9513,0.9586
46, 0.81775, 0.9986,0.9939,0.9794,0.9641,0.9865,0.9474,0.987,0.9743,0.9535,0.9622
