Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, 0.6853666666666667, 0.9579,0.9604,0.9226,0.9034,0.9173,0.8771,0.9499,0.9382,0.8519,0.8805
1, 0.728, 0.973,0.9695,0.9377,0.9192,0.937,0.9025,0.9639,0.9499,0.8828,0.901
2, 0.73395, 0.9739,0.9717,0.9383,0.9221,0.9382,0.8995,0.968,0.9495,0.8896,0.901
3, 0.7364666666666667, 0.9771,0.973,0.9366,0.924,0.9405,0.8989,0.9663,0.9477,0.8935,0.907
4, 0.7375, 0.9773,0.9739,0.9374,0.9215,0.9374,0.9045,0.9689,0.9482,0.8896,0.9029
5, 0.7373, 0.9799,0.9713,0.9366,0.9136,0.9386,0.9005,0.9665,0.9487,0.8871,0.9055
6, 0.73945, 0.9789,0.9739,0.9411,0.9173,0.9442,0.9066,0.9655,0.9541,0.8889,0.908
7, 0.7398833333333333, 0.9775,0.9734,0.9418,0.9164,0.9399,0.9042,0.9694,0.9498,0.8943,0.9083
8, 0.7419, 0.9777,0.9734,0.9385,0.9228,0.9446,0.9068,0.9697,0.9501,0.8867,0.9029
9, 0.74125, 0.978,0.9734,0.9409,0.9222,0.9445,0.8999,0.9689,0.9488,0.8895,0.9031
10, 0.7419, 0.9755,0.9755,0.9442,0.9181,0.9456,0.9047,0.967,0.9491,0.8827,0.9029
11, 0.7417166666666667, 0.979,0.9723,0.9423,0.9221,0.9439,0.9061,0.9685,0.9477,0.8872,0.9063
12, 0.7420833333333333, 0.9781,0.9737,0.9398,0.9188,0.9471,0.9047,0.9647,0.9539,0.8946,0.9057
13, 0.7426833333333334, 0.9771,0.9756,0.9407,0.9201,0.9434,0.9052,0.9658,0.9501,0.8958,0.9074
14, 0.7417666666666667, 0.9774,0.9731,0.9396,0.9238,0.9485,0.9079,0.9713,0.9505,0.8927,0.9075
15, 0.7430166666666667, 0.9765,0.9764,0.9392,0.9184,0.9425,0.9075,0.9671,0.9513,0.8908,0.9096
16, 0.7428166666666667, 0.9772,0.9748,0.9398,0.9209,0.9422,0.9057,0.9691,0.9502,0.8928,0.9043
17, 0.7435166666666667, 0.9772,0.9751,0.9402,0.9233,0.9443,0.9051,0.9663,0.9508,0.8928,0.9092
18, 0.7442, 0.9778,0.9741,0.9406,0.9227,0.9446,0.9056,0.9681,0.9553,0.8861,0.9106
19, 0.7421, 0.9779,0.9708,0.9434,0.9245,0.9478,0.9023,0.9672,0.9504,0.8897,0.9087
20, 0.7431833333333333, 0.9769,0.9749,0.9391,0.9214,0.9371,0.9065,0.9666,0.9523,0.888,0.911
21, 0.74395, 0.9788,0.9737,0.944,0.9247,0.9445,0.9042,0.9674,0.9518,0.8887,0.9061
22, 0.7431, 0.9783,0.9754,0.9427,0.9257,0.9454,0.9067,0.969,0.9536,0.888,0.9075
23, 0.7442666666666666, 0.9797,0.9749,0.941,0.9218,0.9429,0.9031,0.9675,0.9518,0.8937,0.9082
24, 0.7434166666666666, 0.9775,0.9728,0.9403,0.9226,0.9447,0.9011,0.9701,0.9533,0.8932,0.9087
25, 0.7440333333333333, 0.9782,0.9743,0.9405,0.9215,0.9426,0.9084,0.9697,0.9542,0.8926,0.9082
26, 0.7434833333333334, 0.9787,0.9734,0.9422,0.9247,0.9489,0.9059,0.9692,0.9516,0.8933,0.9079
27, 0.7454833333333334, 0.978,0.9742,0.9368,0.9213,0.9436,0.9104,0.9699,0.952,0.8931,0.9111
28, 0.7445833333333334, 0.9783,0.974,0.9415,0.9223,0.9427,0.9051,0.9651,0.951,0.8902,0.9063
29, 0.74575, 0.9795,0.9735,0.9433,0.9206,0.9438,0.9088,0.9693,0.9495,0.8892,0.91
30, 0.7430666666666667, 0.9751,0.9753,0.9413,0.9263,0.9491,0.909,0.9678,0.9524,0.888,0.9094
31, 0.7450666666666667, 0.9791,0.9753,0.9401,0.9182,0.9447,0.9121,0.9656,0.9531,0.8906,0.9131
32, 0.74425, 0.9793,0.9764,0.9421,0.9205,0.9461,0.9028,0.967,0.9519,0.8956,0.9087
33, 0.7453, 0.978,0.9733,0.943,0.9237,0.946,0.9052,0.9699,0.9501,0.8891,0.9111
34, 0.7429833333333333, 0.979,0.9736,0.9399,0.9238,0.9452,0.9075,0.9688,0.9502,0.8947,0.9059
35, 0.7440333333333333, 0.9784,0.9766,0.9418,0.9272,0.9462,0.9076,0.9656,0.9519,0.893,0.9061
36, 0.7449666666666667, 0.9787,0.9775,0.9443,0.9172,0.9474,0.9095,0.9666,0.9494,0.8912,0.9113
37, 0.7451, 0.9776,0.9752,0.9441,0.9213,0.9448,0.9108,0.9674,0.9509,0.8956,0.9081
38, 0.7457833333333334, 0.9781,0.976,0.9354,0.9252,0.9464,0.9105,0.9695,0.9503,0.8894,0.9111
39, 0.7451833333333333, 0.9776,0.9771,0.9391,0.9235,0.9483,0.9072,0.9704,0.9529,0.8913,0.912
40, 0.74575, 0.9782,0.9746,0.9449,0.9246,0.9451,0.9096,0.9683,0.9487,0.891,0.9091
41, 0.7441833333333333, 0.9784,0.9741,0.9412,0.9241,0.9431,0.9075,0.971,0.9545,0.8953,0.9087
42, 0.7437333333333334, 0.978,0.9752,0.9453,0.9173,0.9425,0.9064,0.9702,0.9505,0.8944,0.9096
43, 0.7459666666666667, 0.9782,0.9771,0.9413,0.923,0.9463,0.9089,0.9665,0.9515,0.8914,0.9116
44, 0.7454, 0.9796,0.9754,0.9403,0.9279,0.9448,0.9093,0.9675,0.9517,0.8973,0.9078
45, 0.7446666666666667, 0.9764,0.9748,0.9439,0.9256,0.9442,0.9089,0.9692,0.9547,0.8931,0.9089
46, 0.7447, 0.9807,0.9741,0.9391,0.9219,0.9485,0.9098,0.9673,0.9536,0.8882,0.903
47, 0.7470833333333333, 0.9765,0.9761,0.9423,0.9184,0.9489,0.9062,0.9646,0.9558,0.8927,0.9039
48, 0.7465833333333334, 0.9797,0.9758,0.9445,0.9214,0.9456,0.9053,0.9696,0.9499,0.8937,0.9103
49, 0.7453666666666666, 0.9766,0.9752,0.9412,0.9271,0.9458,0.9068,0.9679,0.9523,0.8924,0.9114
Test information

accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0.2544, 0.96,0.0,0.92,0.92,0.94,0.96,0.92,0.96,0.64,0.78
