Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, 0.63375, 0.968,0.964,0.9012,0.9043,0.8619,0.8342,0.9279,0.9002,0.8124,0.8167
1, 0.712625, 0.9736,0.9749,0.9475,0.9126,0.9142,0.9145,0.9593,0.9436,0.8736,0.8927
2, 0.731375, 0.9813,0.9765,0.9502,0.9277,0.9311,0.9181,0.9616,0.9384,0.8783,0.9019
3, 0.745375, 0.9815,0.9817,0.9512,0.9215,0.9439,0.9268,0.9611,0.9416,0.8801,0.9139
4, 0.753125, 0.9846,0.9851,0.9512,0.9416,0.9488,0.915,0.9789,0.9558,0.9022,0.9253
5, 0.7645, 0.9762,0.9829,0.9532,0.9361,0.9469,0.9208,0.9646,0.9518,0.9135,0.9191
6, 0.762125, 0.9873,0.9802,0.964,0.9461,0.9509,0.9265,0.9732,0.9543,0.9252,0.9183
7, 0.7715, 0.9845,0.9842,0.9587,0.9555,0.956,0.9323,0.9837,0.9588,0.9139,0.9361
8, 0.769625, 0.993,0.9853,0.9547,0.9485,0.9517,0.9232,0.9779,0.9484,0.9249,0.9319
9, 0.77025, 0.9873,0.983,0.9573,0.9487,0.9543,0.91,0.972,0.9687,0.9101,0.9366
10, 0.771625, 0.9834,0.9853,0.9571,0.9511,0.9589,0.9301,0.9751,0.9565,0.9234,0.9339
11, 0.784125, 0.9916,0.9831,0.9622,0.9504,0.9497,0.9461,0.984,0.9619,0.9131,0.9471
12, 0.782, 0.9847,0.9903,0.9604,0.9605,0.9683,0.9345,0.9808,0.9625,0.9211,0.9405
13, 0.779625, 0.9903,0.989,0.9578,0.9507,0.9646,0.9283,0.9867,0.962,0.9231,0.9288
14, 0.788625, 0.9861,0.988,0.9496,0.9502,0.9528,0.9375,0.9766,0.9681,0.9374,0.9321
15, 0.78725, 0.9862,0.9843,0.9627,0.9519,0.9666,0.9322,0.9722,0.97,0.904,0.9411
16, 0.791625, 0.9835,0.9891,0.9649,0.957,0.9709,0.9341,0.981,0.9784,0.9299,0.9391
