Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, 0.6908833333333333, 0.9646,0.9637,0.9216,0.9035,0.9225,0.8726,0.9563,0.9367,0.8548,0.8803
1, 0.7240833333333333, 0.9706,0.9691,0.9354,0.9206,0.9369,0.8889,0.9659,0.9492,0.8802,0.8976
2, 0.7284333333333334, 0.9753,0.9673,0.9359,0.9213,0.938,0.8935,0.9686,0.947,0.8855,0.8949
3, 0.7325, 0.9756,0.9702,0.9335,0.9157,0.9354,0.898,0.968,0.9458,0.886,0.9011
4, 0.7342333333333333, 0.9756,0.9735,0.941,0.925,0.9404,0.8948,0.9661,0.9471,0.8823,0.9007
5, 0.7365666666666667, 0.9773,0.9751,0.9375,0.9183,0.9423,0.9019,0.972,0.948,0.8872,0.9061
6, 0.7365333333333334, 0.9748,0.9741,0.9349,0.9205,0.942,0.8979,0.9722,0.9494,0.8844,0.9063
7, 0.7374666666666667, 0.9748,0.9729,0.9427,0.9224,0.9452,0.8995,0.9711,0.9493,0.8863,0.9043
8, 0.7379666666666667, 0.976,0.9752,0.9409,0.9215,0.9441,0.9007,0.9698,0.9486,0.885,0.9038
9, 0.7386166666666667, 0.976,0.9736,0.9408,0.9262,0.9388,0.9058,0.9692,0.9521,0.889,0.9043
10, 0.73915, 0.9764,0.9725,0.9354,0.9247,0.9419,0.9023,0.9704,0.9473,0.8889,0.9046
11, 0.74055, 0.9769,0.9722,0.9373,0.9261,0.9476,0.9046,0.9679,0.9508,0.8853,0.9038
12, 0.7405, 0.9761,0.9744,0.9416,0.9272,0.9413,0.9056,0.9711,0.9483,0.893,0.9076
13, 0.7411166666666666, 0.9766,0.9739,0.9422,0.9268,0.9446,0.9012,0.9691,0.9547,0.8874,0.9043
14, 0.74115, 0.9757,0.9728,0.9442,0.9261,0.9476,0.9092,0.968,0.9521,0.8856,0.9048
15, 0.7421, 0.975,0.9731,0.9375,0.9209,0.9426,0.9064,0.9699,0.9472,0.888,0.9037
16, 0.7421333333333333, 0.98,0.9753,0.9383,0.9237,0.9475,0.9054,0.9711,0.9501,0.8905,0.9054
17, 0.7438833333333333, 0.9781,0.973,0.9424,0.9226,0.9452,0.9061,0.971,0.9535,0.8967,0.9086
18, 0.7410833333333333, 0.9763,0.9746,0.9396,0.9246,0.9491,0.901,0.9702,0.9496,0.8884,0.9051
19, 0.7419833333333333, 0.9773,0.9732,0.9408,0.9247,0.9466,0.8992,0.9673,0.947,0.8864,0.9036
20, 0.7434666666666667, 0.9777,0.9757,0.9435,0.9254,0.9445,0.9078,0.9716,0.9501,0.8896,0.9059
21, 0.7430833333333333, 0.9767,0.9725,0.9426,0.9259,0.9463,0.9004,0.9706,0.9504,0.8889,0.9073
22, 0.7427166666666667, 0.9801,0.974,0.9412,0.9271,0.9465,0.9065,0.9686,0.9513,0.8866,0.9032
23, 0.7440333333333333, 0.9769,0.9741,0.9438,0.9268,0.9464,0.9096,0.9713,0.9522,0.8932,0.9021
24, 0.74225, 0.9793,0.9754,0.9418,0.926,0.9477,0.9069,0.9729,0.9504,0.8899,0.9071
25, 0.7428166666666667, 0.9763,0.9725,0.9418,0.9229,0.9456,0.9014,0.9716,0.9512,0.8946,0.9083
