Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, 0.630375, 0.9442,0.954,0.9,0.8689,0.8919,0.8237,0.934,0.9109,0.8218,0.8247
1, 0.706125, 0.9709,0.9657,0.9416,0.93,0.9267,0.9024,0.9476,0.9425,0.8796,0.8937
2, 0.737375, 0.9746,0.9832,0.9512,0.9361,0.9395,0.9064,0.9627,0.957,0.9068,0.9165
3, 0.74175, 0.9808,0.9746,0.9573,0.9424,0.9548,0.9331,0.962,0.9483,0.9019,0.9034
4, 0.755875, 0.981,0.9821,0.9514,0.9525,0.9557,0.9123,0.9581,0.9608,0.8986,0.9497
5, 0.753125, 0.9795,0.9835,0.9607,0.9419,0.9414,0.9469,0.9768,0.9521,0.8996,0.9343
6, 0.76375, 0.9798,0.9835,0.9565,0.9317,0.9463,0.9385,0.9621,0.952,0.9038,0.9332
7, 0.768875, 0.9871,0.9898,0.958,0.949,0.9473,0.9404,0.9742,0.957,0.9241,0.927
8, 0.7695, 0.9841,0.9823,0.9583,0.946,0.9597,0.9232,0.9712,0.9661,0.9203,0.9312
9, 0.772875, 0.9839,0.9849,0.9624,0.9446,0.9634,0.9358,0.9754,0.9676,0.9324,0.9208
10, 0.77625, 0.987,0.9813,0.9663,0.9492,0.9665,0.9377,0.9787,0.9706,0.9379,0.9482
11, 0.777375, 0.9914,0.9761,0.9581,0.9576,0.9654,0.9405,0.9788,0.9568,0.9116,0.9425
12, 0.782125, 0.9813,0.9861,0.9705,0.9361,0.9575,0.9358,0.9848,0.9695,0.933,0.9379
13, 0.776, 0.9872,0.9874,0.9626,0.9425,0.954,0.9314,0.9757,0.9608,0.9288,0.9407
14, 0.785125, 0.9886,0.9937,0.9672,0.9623,0.9568,0.9481,0.9865,0.9646,0.9197,0.9271
15, 0.784625, 0.9871,0.9924,0.9595,0.9515,0.9571,0.9419,0.9744,0.9609,0.9139,0.9409
16, 0.787125, 0.9871,0.9887,0.9658,0.953,0.9513,0.9401,0.9772,0.977,0.9327,0.9441
