Training information

epoch, accuracy, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0, 0.6930333333333333, 0.9621,0.9646,0.9269,0.9006,0.9199,0.8691,0.9555,0.9336,0.854,0.8777
1, 0.7243333333333334, 0.9686,0.9693,0.936,0.9125,0.9305,0.8926,0.9662,0.9419,0.8792,0.8947
2, 0.7324666666666667, 0.9707,0.9703,0.9344,0.9195,0.9372,0.895,0.9647,0.9468,0.885,0.9007
3, 0.73495, 0.9741,0.9698,0.9396,0.9142,0.9363,0.8966,0.9668,0.9423,0.8903,0.9047
4, 0.73635, 0.974,0.9684,0.9385,0.9195,0.9393,0.9048,0.9664,0.945,0.8904,0.9019
5, 0.7377, 0.9751,0.9702,0.9407,0.9215,0.9419,0.9025,0.964,0.9494,0.8872,0.9081
6, 0.7382166666666666, 0.9758,0.9718,0.9405,0.9158,0.942,0.8993,0.9697,0.9471,0.8833,0.9067
7, 0.7395166666666667, 0.9758,0.9726,0.9429,0.9184,0.9398,0.8996,0.9649,0.9466,0.8902,0.902
8, 0.74115, 0.9744,0.9749,0.9447,0.9249,0.9377,0.9046,0.9687,0.9496,0.8924,0.9067
9, 0.7405, 0.976,0.9736,0.9459,0.9206,0.9427,0.9036,0.9687,0.9484,0.8889,0.9071
10, 0.7399666666666667, 0.9744,0.9723,0.9448,0.9245,0.9402,0.9027,0.9681,0.9475,0.8886,0.9067
11, 0.7400833333333333, 0.973,0.973,0.9415,0.9214,0.9416,0.9022,0.9644,0.945,0.8916,0.9026
12, 0.7437, 0.9756,0.973,0.9389,0.9269,0.9412,0.9073,0.9671,0.9469,0.8883,0.9053
13, 0.7425, 0.9758,0.9733,0.9427,0.9227,0.9421,0.9091,0.9665,0.9466,0.8838,0.9045
14, 0.74145, 0.9772,0.973,0.9407,0.9235,0.9448,0.9031,0.9718,0.948,0.8909,0.9066
15, 0.7414666666666667, 0.974,0.9722,0.9425,0.9247,0.9451,0.9084,0.9703,0.9487,0.8874,0.9018
16, 0.7444166666666666, 0.9742,0.9743,0.9457,0.9191,0.9436,0.9004,0.9693,0.9475,0.8929,0.9078
